area_util,banheiros,suites,quartos,vagas_garagem,preco_venda,bairro,tipo_imovel,tipo_imovel_recategorized
5814,72.0,1.0,0.0,2.0,1.0,230999,Jardim Ampliação,Apartamento,Apartamento
5816,73.0,2.0,1.0,2.0,1.0,833437,Jardim Paulista,Apartamento,Apartamento
5817,73.0,1.0,1.0,3.0,2.0,636440,Pinheiros,Apartamento,Apartamento
5826,100.0,2.0,1.0,3.0,1.0,311500,Santana,Apartamento,Apartamento
5828,105.0,2.0,1.0,3.0,2.0,455000,Santana,Apartamento,Apartamento
5834,146.0,4.0,1.0,3.0,3.0,475999,Vila Água Funda,Casa de dois andares,Casa
5835,35.0,1.0,0.0,1.0,1.0,406700,Pinheiros,Apartamento,Apartamento
5838,70.0,2.0,0.0,2.0,1.0,206500,Vila Celeste,Apartamento,Apartamento
5845,120.0,2.0,0.0,2.0,1.0,348600,Jardim Ester,Casa,Casa
5846,98.0,3.0,2.0,2.0,2.0,297500,Vila Antonio,Casa,Casa
5849,150.0,2.0,1.0,3.0,2.0,525000,Planalto Paulista,Casa de dois andares,Casa
5851,104.0,2.0,1.0,3.0,2.0,409500,Vila Santa Catarina,Apartamento,Apartamento
5854,120.0,3.0,1.0,3.0,1.0,546000,Vila Campo Grande,Apartamento,Apartamento
5855,95.0,3.0,1.0,2.0,2.0,468999,Vila Andrade,Apartamento,Apartamento
5857,75.0,3.0,2.0,2.0,1.0,266000,Jardim Ubirajara,Casa,Casa
5860,63.0,2.0,1.0,2.0,1.0,207234,Penha,Apartamento,Apartamento
5861,124.0,2.0,1.0,3.0,2.0,553000,Vila Andrade,Apartamento,Apartamento
5863,140.0,1.0,1.0,2.0,2.0,350000,Tremembé,Condomínio,Outro
5866,120.0,3.0,1.0,4.0,2.0,665000,Vila Sofia,Apartamento,Apartamento
5869,300.0,5.0,2.0,3.0,2.0,595000,Vila Arriete,Casa,Casa
5870,147.0,3.0,1.0,4.0,2.0,812000,Vila Santa Catarina,Apartamento,Apartamento
5871,116.0,3.0,1.0,4.0,2.0,489999,Jardim Marajoara,Apartamento,Apartamento
5880,50.0,1.0,0.0,2.0,1.0,118999,Jardim Martins Silva,Apartamento,Apartamento
5881,53.0,1.0,0.0,2.0,1.0,210000,Vila Andrade,Apartamento,Apartamento
5883,240.0,2.0,1.0,3.0,2.0,455000,São João Clímaco,Casa de dois andares,Casa
5885,64.0,2.0,0.0,3.0,1.0,372400,Campo Belo,Apartamento,Apartamento
5886,68.0,2.0,0.0,2.0,1.0,273000,Santana,Apartamento,Apartamento
5892,72.0,3.0,2.0,2.0,2.0,230299,Vila Aricanduva,Condomínio,Outro
5895,61.0,1.0,0.0,3.0,2.0,247568,Vila Constança,Casa,Casa
5897,74.0,1.0,0.0,2.0,1.0,257767,Jardim do Lago,Casa,Casa
5898,48.0,1.0,0.0,2.0,1.0,224000,Chácara Califórnia,Apartamento,Apartamento
5899,60.0,1.0,0.0,2.0,1.0,206500,Jardim Patente Novo,Apartamento,Apartamento
5900,66.0,2.0,2.0,2.0,2.0,280000,Vila Medeiros,Apartamento,Apartamento
5903,75.0,2.0,1.0,1.0,1.0,609000,Indianópolis,Apartamento,Apartamento
5905,70.0,2.0,1.0,3.0,2.0,280000,Jardim Marajoara,Apartamento,Apartamento
5906,108.0,3.0,1.0,3.0,3.0,779100,Saúde,Apartamento,Apartamento
5910,50.0,1.0,0.0,2.0,1.0,182000,Jardim do Tiro,Apartamento,Apartamento
5911,65.0,2.0,1.0,2.0,1.0,279300,Vila Nova Alba,Apartamento,Apartamento
5913,80.0,1.0,0.0,3.0,1.0,251999,Jaguaré,Apartamento,Apartamento
5917,59.0,2.0,1.0,2.0,1.0,192500,Burgo Paulista,Condomínio,Outro
5923,93.0,3.0,1.0,3.0,2.0,700000,Perdizes,Apartamento,Apartamento
5930,71.0,1.0,0.0,3.0,2.0,266000,Jardim Danfer,Casa,Casa
5938,90.0,2.0,1.0,3.0,1.0,273000,Chácara Mafalda,Condomínio,Outro
5943,65.0,1.0,0.0,3.0,1.0,161000,Jardim Umarizal,Apartamento,Apartamento
5944,70.0,2.0,1.0,2.0,1.0,255499,Vila Nova Alba,Apartamento,Apartamento
5950,42.0,1.0,0.0,1.0,1.0,374500,Cerqueira César,Flat,Apartamento
5951,36.0,1.0,0.0,1.0,1.0,230999,Itaim Bibi,Flat,Apartamento
5953,40.0,1.0,1.0,1.0,1.0,111300,Jardim Sao Paulo,Flat,Apartamento
5954,44.0,1.0,1.0,1.0,1.0,350000,Moema,Flat,Apartamento
5957,180.0,2.0,2.0,3.0,1.0,489999,Interlagos,Cobertura,Apartamento
5967,150.0,5.0,1.0,3.0,2.0,525000,Vila Dom Pedro I,Casa de dois andares,Casa
5978,94.0,2.0,1.0,3.0,2.0,629300,Vila Romana,Apartamento,Apartamento
5979,114.0,3.0,1.0,3.0,2.0,485099,Jabaquara,Apartamento,Apartamento
5981,74.0,2.0,1.0,2.0,2.0,336000,Interlagos,Apartamento,Apartamento
5984,60.0,1.0,0.0,2.0,1.0,193900,Cupecê,Apartamento,Apartamento
5986,110.0,3.0,2.0,2.0,2.0,468999,Vila Morse,Casa,Casa
5987,63.0,2.0,0.0,2.0,2.0,339500,Santo Amaro,Apartamento,Apartamento
5988,120.0,2.0,1.0,3.0,2.0,482999,Santana,Apartamento,Apartamento
5989,91.0,3.0,2.0,2.0,2.0,447300,Butantã,Apartamento,Apartamento
5991,93.0,3.0,2.0,2.0,2.0,301000,Vila Formosa,Casa,Casa
5993,180.0,4.0,1.0,2.0,2.0,444500,Vila Isolina Mazzei,Casa,Casa
5997,105.0,1.0,1.0,3.0,2.0,749000,Perdizes,Apartamento,Apartamento
6014,49.0,1.0,0.0,2.0,1.0,322000,Vila Leopoldina,Apartamento,Apartamento
6041,70.0,2.0,2.0,2.0,2.0,332500,Santana,Casa,Casa
6048,172.0,3.0,1.0,3.0,3.0,475999,Vila Gea,Casa,Casa
6049,130.0,3.0,1.0,3.0,2.0,861000,Vila Leopoldina,Apartamento,Apartamento
6067,48.0,1.0,0.0,2.0,1.0,206500,Vila Irmãos Arnoni,Apartamento,Apartamento
6069,135.0,3.0,2.0,2.0,2.0,451500,Vila Dom Pedro II,Condomínio,Outro
6070,110.0,3.0,0.0,2.0,2.0,315000,Conjunto Residencial Jardim Canaã,Casa,Casa
6071,132.0,3.0,1.0,3.0,2.0,630000,Jardim das Acácias,Apartamento,Apartamento
6085,80.0,1.0,1.0,3.0,1.0,447300,Jardim Esmeralda,Apartamento,Apartamento
6087,70.0,1.0,1.0,3.0,2.0,206500,Paraisópolis,Apartamento,Apartamento
6089,210.0,3.0,2.0,2.0,2.0,910000,Ipiranga,Casa,Casa
6094,180.0,4.0,2.0,3.0,2.0,665000,Jardim Santa Helena,Casa,Casa
6095,120.0,1.0,0.0,3.0,4.0,385000,Vila Vermelha,Casa,Casa
6097,100.0,2.0,0.0,3.0,2.0,287000,Jardim Maristela,Casa,Casa
6113,48.0,1.0,0.0,2.0,1.0,193200,Vila Carrao,Apartamento,Apartamento
6114,72.0,2.0,1.0,2.0,1.0,220500,Vila Matilde,Condomínio,Outro
6115,35.0,1.0,0.0,1.0,1.0,209300,Santa Cecília,Apartamento,Apartamento
6128,70.0,1.0,0.0,2.0,1.0,237999,Jardim Paraíso,Apartamento,Apartamento
6130,168.0,3.0,1.0,3.0,2.0,595000,Mooca,Casa de dois andares,Casa
6136,65.0,2.0,0.0,2.0,1.0,367500,Chácara Santo Antônio (Zona Sul),Apartamento,Apartamento
6140,64.0,1.0,0.0,2.0,1.0,83846,Jardim Peri,Apartamento,Apartamento
6145,95.0,2.0,0.0,3.0,1.0,532000,Perdizes,Apartamento,Apartamento
6149,85.0,2.0,0.0,2.0,2.0,280000,Vila Anhangüera,Casa,Casa
6151,306.0,5.0,1.0,4.0,2.0,889000,Vila Romana,Casa,Casa
6163,27.0,1.0,1.0,1.0,1.0,224000,Cerqueira César,Apartamento,Apartamento
6167,70.0,1.0,0.0,2.0,1.0,280000,Penha de França,Apartamento,Apartamento
6168,76.0,2.0,1.0,3.0,1.0,298200,Jardim Sao Paulo,Apartamento,Apartamento
6171,67.0,1.0,0.0,3.0,1.0,237999,Jardim Vergueiro,Apartamento,Apartamento
6174,62.0,1.0,0.0,2.0,1.0,133000,São João Climaco,Apartamento,Apartamento
6181,89.0,1.0,0.0,3.0,1.0,336000,Jardim Marajoara,Apartamento,Apartamento
6182,50.0,1.0,0.0,2.0,1.0,154000,Jardim Paris,Apartamento,Apartamento
6195,46.0,1.0,1.0,1.0,1.0,427000,Sumaré,Apartamento,Apartamento
6196,80.0,2.0,0.0,2.0,1.0,174930,Jardim das Camélias,Casa,Casa
6198,100.0,2.0,1.0,2.0,1.0,315000,Vila Ema,Casa,Casa
6199,76.0,2.0,1.0,2.0,1.0,385000,Vila Zilda,Casa,Casa
6200,69.0,2.0,1.0,3.0,2.0,341600,Alto da Mooca,Apartamento,Apartamento
6201,50.0,1.0,0.0,2.0,1.0,80500,Parque Panamericano,Apartamento,Apartamento
6202,56.0,1.0,0.0,2.0,1.0,189000,Moinho Velho,Apartamento,Apartamento
6204,49.0,1.0,0.0,2.0,1.0,217000,Tremembé,Apartamento,Apartamento
6205,49.0,1.0,0.0,2.0,1.0,244999,Tremembé,Apartamento,Apartamento
6213,79.0,2.0,1.0,3.0,2.0,350000,Vila Prel,Apartamento,Apartamento
6214,71.0,2.0,1.0,2.0,1.0,753410,Indianópolis,Apartamento,Apartamento
6215,44.0,1.0,0.0,2.0,1.0,189494,Vila Paranaguá,Apartamento,Apartamento
6221,49.0,1.0,0.0,2.0,1.0,360500,Vila Mariana,Apartamento,Apartamento
6222,52.0,1.0,0.0,2.0,1.0,244999,Socorro,Apartamento,Apartamento
6223,53.0,1.0,0.0,2.0,1.0,173600,Jardim Celeste,Apartamento,Apartamento
6224,140.0,1.0,1.0,3.0,2.0,475999,Vila Suzana,Casa,Casa
6225,100.0,3.0,1.0,3.0,3.0,595000,Vila Mariana,Apartamento,Apartamento
6226,73.0,2.0,1.0,3.0,2.0,413000,Jardim Celeste,Apartamento,Apartamento
6229,180.0,4.0,1.0,4.0,3.0,406000,Vila Carolina,Casa,Casa
6231,87.0,2.0,1.0,3.0,2.0,347200,Morumbi,Apartamento,Apartamento
6235,115.0,3.0,0.0,3.0,2.0,959946,Chácara Klabin,Apartamento,Apartamento
6236,70.0,1.0,1.0,3.0,1.0,301000,Rio Pequeno,Apartamento,Apartamento
6238,55.0,2.0,1.0,2.0,1.0,280000,Vila Andrade,Apartamento,Apartamento
6241,50.0,1.0,0.0,2.0,1.0,251999,Jardim Taquaral,Apartamento,Apartamento
6244,32.0,1.0,0.0,1.0,1.0,234499,Vila Olímpia,Flat,Apartamento
6251,51.0,1.0,0.0,2.0,1.0,236961,Vila Andrade,Apartamento,Apartamento
6252,120.0,2.0,1.0,3.0,2.0,220500,Parque Savoy City,Casa de dois andares,Casa
6255,92.0,3.0,1.0,3.0,2.0,626500,Vila Pompeia,Apartamento,Apartamento
6260,65.0,1.0,0.0,2.0,2.0,280000,Butantã,Apartamento,Apartamento
6261,55.0,1.0,0.0,2.0,1.0,210000,Vila Mazzei,Apartamento,Apartamento
6263,186.0,2.0,1.0,3.0,2.0,944999,Santana,Cobertura,Apartamento
6265,45.0,2.0,1.0,1.0,1.0,371000,Vila Uberabinha,Apartamento,Apartamento
6266,42.0,1.0,1.0,1.0,1.0,345800,Cerqueira César,Flat,Apartamento
6270,34.0,1.0,1.0,1.0,1.0,336000,Jardim Europa,Flat,Apartamento
6272,67.0,2.0,0.0,2.0,1.0,310100,Saúde,Apartamento,Apartamento
6273,77.0,2.0,0.0,2.0,1.0,301000,Chácara Santo Antônio,Apartamento,Apartamento
6274,97.0,2.0,1.0,3.0,2.0,455000,Vila Andrade,Apartamento,Apartamento
6276,60.0,2.0,1.0,2.0,1.0,350000,Vila Monte Alegre,Apartamento,Apartamento
6277,70.0,2.0,1.0,3.0,1.0,287000,Vila Carrão,Apartamento,Apartamento
6278,70.0,1.0,0.0,2.0,1.0,241499,Vila Carrão,Condomínio,Outro
6279,200.0,2.0,1.0,3.0,6.0,519399,Vila Carrão,Casa de dois andares,Casa
6282,47.0,1.0,0.0,2.0,1.0,210000,Vila Amélia,Apartamento,Apartamento
6291,50.0,1.0,1.0,1.0,1.0,280000,Jardim Paulista,Flat,Apartamento
6295,53.0,2.0,1.0,2.0,1.0,409500,Jardim Vila Mariana,Apartamento,Apartamento
6297,50.0,1.0,0.0,2.0,1.0,192500,Imirim,Apartamento,Apartamento
6301,33.0,1.0,1.0,1.0,1.0,258999,Moema,Flat,Apartamento
6302,50.0,1.0,0.0,2.0,1.0,210000,Fazenda Morumbi,Apartamento,Apartamento
6304,34.0,1.0,0.0,1.0,1.0,379400,Pinheiros,Apartamento,Apartamento
6305,83.0,3.0,2.0,2.0,2.0,705600,Itaim Bibi,Apartamento,Apartamento
6309,47.0,1.0,0.0,2.0,1.0,140700,São Mateus,Apartamento,Apartamento
6310,77.0,1.0,1.0,2.0,1.0,420000,Vila Sônia,Apartamento,Apartamento
6311,50.0,1.0,1.0,2.0,1.0,672000,Brooklin Paulista,Apartamento,Apartamento
6313,146.0,1.0,1.0,3.0,2.0,504569,Barra Funda,Casa de dois andares,Casa
6314,50.0,1.0,0.0,2.0,1.0,136500,Jardim Paris,Apartamento,Apartamento
6315,176.0,2.0,0.0,2.0,2.0,455000,Vila Carrão,Casa,Casa
6319,75.0,2.0,2.0,2.0,1.0,294000,Vila Nilo,Condomínio,Outro
6320,68.0,2.0,1.0,2.0,1.0,419300,Vila Dom Pedro I,Apartamento,Apartamento
6321,111.0,2.0,1.0,3.0,2.0,595592,Jardim Caboré,Apartamento,Apartamento
6323,77.0,2.0,1.0,3.0,1.0,294000,Barra Funda,Apartamento,Apartamento
6324,100.0,1.0,1.0,2.0,2.0,805000,Vila Progredior,Apartamento,Apartamento
6325,49.0,1.0,1.0,1.0,1.0,303100,Casa Verde,Apartamento,Apartamento
6329,38.0,1.0,1.0,1.0,1.0,244999,Moema,Flat,Apartamento
6332,64.0,1.0,0.0,3.0,1.0,266000,Vila Ema,Apartamento,Apartamento
6333,30.0,1.0,1.0,1.0,1.0,189000,Jardim Paulista,Flat,Apartamento
6337,64.0,2.0,1.0,3.0,2.0,441000,Casa Verde,Apartamento,Apartamento
6338,48.0,1.0,0.0,2.0,1.0,224000,Jardim Sabará,Apartamento,Apartamento
6341,69.0,2.0,1.0,2.0,1.0,284585,Vila Maria Alta,Apartamento,Apartamento
6342,54.0,1.0,0.0,2.0,1.0,175000,Jardim Umarizal,Apartamento,Apartamento
6343,55.0,1.0,0.0,2.0,1.0,364000,Vila Mariana,Apartamento,Apartamento
6347,115.0,1.0,1.0,2.0,3.0,243599,Vila Imperio,Casa,Casa
6349,54.0,1.0,0.0,2.0,1.0,189000,Jardim Umarizal,Apartamento,Apartamento
6350,60.0,3.0,2.0,2.0,1.0,194600,Vila Califórnia,Condomínio,Outro
6354,59.0,2.0,2.0,2.0,1.0,230999,Cupecê,Casa,Casa
6358,56.0,1.0,0.0,2.0,1.0,154000,Chácara Santa Maria,Apartamento,Apartamento
6359,80.0,2.0,1.0,3.0,1.0,503999,Santo Amaro,Apartamento,Apartamento
6365,67.0,2.0,0.0,2.0,1.0,224000,Parque Vitória,Condomínio,Outro
6366,40.0,1.0,0.0,2.0,1.0,147000,Jardim Nossa Senhora do Carmo,Apartamento,Apartamento
6372,26.0,1.0,0.0,1.0,1.0,189000,Moema,Flat,Apartamento
6373,44.0,1.0,0.0,2.0,1.0,217629,Interlagos,Apartamento,Apartamento
6376,80.0,2.0,1.0,3.0,2.0,378000,Casa Verde,Apartamento,Apartamento
6378,58.0,1.0,0.0,2.0,1.0,185500,Vila Andrade,Apartamento,Apartamento
6379,230.0,2.0,0.0,2.0,3.0,413000,Vila Bertioga,Casa,Casa
6380,50.0,1.0,0.0,2.0,1.0,133000,Vila Damaceno,Apartamento,Apartamento
6381,80.0,1.0,0.0,2.0,1.0,258929,Jardim Iracema,Casa,Casa
6382,60.0,1.0,0.0,2.0,1.0,244999,Jabaquara,Apartamento,Apartamento
6384,64.0,1.0,0.0,3.0,1.0,255499,Jardim Japao,Apartamento,Apartamento
6386,33.0,1.0,0.0,1.0,1.0,258999,Chácara Santo Antônio,Apartamento,Apartamento
6389,63.0,2.0,1.0,2.0,2.0,840000,Cerqueira César,Apartamento,Apartamento
6392,110.0,3.0,1.0,3.0,1.0,560000,Vila Mariana,Apartamento,Apartamento
6393,154.0,1.0,1.0,3.0,1.0,944999,Paraíso,Apartamento,Apartamento
6395,52.0,1.0,0.0,2.0,1.0,129499,Campo Limpo,Apartamento,Apartamento
6397,80.0,2.0,0.0,2.0,1.0,277200,Americanópolis,Casa,Casa
6402,84.0,3.0,1.0,3.0,2.0,420000,Vila Mafra,Apartamento,Apartamento
6404,94.0,2.0,1.0,3.0,2.0,455000,Vila Progredior,Apartamento,Apartamento
6407,134.0,1.0,1.0,3.0,2.0,665000,Chácara Santo Antônio (Zona Sul),Apartamento,Apartamento
6408,292.0,2.0,2.0,3.0,4.0,1645000,Indianópolis,Cobertura,Apartamento
6410,70.0,2.0,1.0,3.0,1.0,294000,Vila Polopoli,Apartamento,Apartamento
6411,112.0,2.0,1.0,3.0,2.0,944999,Perdizes,Apartamento,Apartamento
6414,90.0,3.0,2.0,2.0,2.0,910000,Pinheiros,Apartamento,Apartamento
6415,125.0,2.0,1.0,3.0,2.0,336000,Vila Gomes,Casa de dois andares,Casa
6416,60.0,1.0,0.0,2.0,1.0,171500,Parque das Arvores,Apartamento,Apartamento
6419,150.0,3.0,1.0,3.0,2.0,406000,São João Climaco,Casa de dois andares,Casa
6421,50.0,1.0,0.0,2.0,1.0,136500,Conjunto Habitacional Instituto Adventista,Apartamento,Apartamento
6422,115.0,3.0,1.0,3.0,2.0,903000,Móoca,Apartamento,Apartamento
6428,107.0,2.0,1.0,2.0,2.0,458500,Brás,Apartamento,Apartamento
6432,32.0,1.0,1.0,1.0,1.0,224000,Jardins,Flat,Apartamento
6433,50.0,1.0,0.0,2.0,1.0,147000,Jardim Boa Vista (Zona Oeste),Apartamento,Apartamento
6437,90.0,3.0,1.0,3.0,2.0,371000,Jardim São Luís,Casa de dois andares,Casa
6438,50.0,1.0,0.0,2.0,1.0,161000,Jardim Mitsutani,Apartamento,Apartamento
6440,119.0,3.0,2.0,2.0,2.0,630000,Vila Mascote,Apartamento,Apartamento
6441,82.0,1.0,0.0,3.0,1.0,243599,Jardim Patente,Apartamento,Apartamento
6444,64.0,2.0,1.0,2.0,1.0,227500,Vila Paulo Silas,Apartamento,Apartamento
6452,98.0,3.0,1.0,3.0,2.0,560000,Pompeia,Apartamento,Apartamento
6453,88.0,3.0,2.0,2.0,2.0,717500,Vila Romana,Apartamento,Apartamento
6455,28.0,1.0,1.0,1.0,1.0,147000,Jardim Anália Franco,Flat,Apartamento
6456,30.0,1.0,1.0,1.0,1.0,210000,Vila Olímpia,Flat,Apartamento
6458,80.0,1.0,0.0,2.0,1.0,220500,Vila Marari,Casa,Casa
6459,58.0,1.0,0.0,2.0,1.0,137200,Jardim Eledy,Apartamento,Apartamento
6460,74.0,1.0,0.0,2.0,1.0,210000,Campo Limpo,Apartamento,Apartamento
6461,70.0,2.0,1.0,3.0,1.0,336000,Jardim Marajoara,Apartamento,Apartamento
6462,212.0,4.0,1.0,3.0,4.0,770000,Parque da Mooca,Casa de dois andares,Casa
6463,90.0,2.0,1.0,3.0,2.0,546000,Vila Mascote,Apartamento,Apartamento
6467,47.0,1.0,0.0,2.0,1.0,171500,Campo Limpo,Apartamento,Apartamento
6473,67.0,2.0,1.0,3.0,1.0,473899,Vila Madalena,Apartamento,Apartamento
6475,180.0,3.0,1.0,3.0,4.0,315000,Jardim Imperador,Casa de dois andares,Casa
6476,81.0,2.0,1.0,3.0,2.0,448000,Campo Grande,Apartamento,Apartamento
6479,105.0,2.0,1.0,3.0,2.0,623000,Chácara Califórnia,Apartamento,Apartamento
6480,52.0,1.0,0.0,2.0,1.0,258999,Jardim Marajoara,Apartamento,Apartamento
6484,120.0,1.0,0.0,2.0,4.0,297500,Vila Brasilina,Casa,Casa
6486,120.0,4.0,3.0,3.0,2.0,482999,Vila Regente Feijo,Condomínio,Outro
6487,315.0,6.0,4.0,4.0,5.0,2100000,Santana,Cobertura,Apartamento
6488,62.0,2.0,0.0,2.0,1.0,294000,Jardim Itapeva,Apartamento,Apartamento
6490,94.0,3.0,1.0,3.0,2.0,937999,Pinheiros,Apartamento,Apartamento
6493,28.0,1.0,1.0,1.0,1.0,213500,Indianópolis,Flat,Apartamento
6494,33.0,1.0,1.0,1.0,1.0,224000,Moema,Flat,Apartamento
6497,83.0,2.0,1.0,3.0,1.0,465499,Aclimação,Apartamento,Apartamento
6500,90.0,3.0,1.0,2.0,2.0,595000,Perdizes,Apartamento,Apartamento
6501,29.0,1.0,1.0,1.0,1.0,154000,Campo Belo,Flat,Apartamento
6502,150.0,3.0,0.0,3.0,2.0,930999,Vila Monte Alegre,Apartamento,Apartamento
6503,140.0,3.0,1.0,3.0,6.0,595000,Parque São Domingos,Casa de dois andares,Casa
6505,63.0,2.0,1.0,2.0,1.0,319200,Vila Maria,Apartamento,Apartamento
6507,245.0,6.0,3.0,3.0,3.0,1945999,Perdizes,Cobertura,Apartamento
6520,56.0,1.0,0.0,2.0,1.0,168000,Engenheiro Goulart,Apartamento,Apartamento
6527,42.0,1.0,1.0,1.0,1.0,301000,Cerqueira César,Flat,Apartamento
6532,82.0,2.0,0.0,2.0,2.0,301000,Jardim Taquaral,Apartamento,Apartamento
6533,70.0,2.0,1.0,2.0,2.0,749000,Pinheiros,Apartamento,Apartamento
6534,76.0,1.0,1.0,2.0,2.0,461999,Chácara Inglesa,Apartamento,Apartamento
6535,65.0,1.0,0.0,2.0,1.0,81657,Jardim Santa Terezinha,Apartamento,Apartamento
6536,70.0,2.0,1.0,3.0,1.0,416500,Barra Funda,Apartamento,Apartamento
6537,67.0,2.0,0.0,3.0,2.0,244999,Água Fria,Apartamento,Apartamento
6541,28.0,1.0,1.0,1.0,1.0,175000,Paraíso,Flat,Apartamento
6543,48.0,1.0,0.0,2.0,1.0,182000,Jardim Germânia,Prédio Residencial,Apartamento
6546,50.0,1.0,0.0,2.0,1.0,176330,Jardim Catanduva,Apartamento,Apartamento
6547,70.0,3.0,2.0,2.0,1.0,237999,Vila Medeiros,Condomínio,Outro
6548,115.0,2.0,1.0,3.0,1.0,230999,Jardim Maria Virginia,Casa de dois andares,Casa
6550,80.0,3.0,2.0,2.0,2.0,336000,Vila Mazzei,Condomínio,Outro
6551,260.0,2.0,1.0,3.0,2.0,525000,Vila Nova Caledonia,Casa,Casa
6552,68.0,1.0,1.0,2.0,1.0,308000,Tatuapé,Apartamento,Apartamento
6553,69.0,1.0,1.0,3.0,2.0,260399,Sítio do Mandaqui,Apartamento,Apartamento
6554,60.0,2.0,1.0,2.0,1.0,419300,Vila Mariana,Apartamento,Apartamento
6555,75.0,2.0,1.0,3.0,2.0,494199,Vila Mariana,Apartamento,Apartamento
6556,44.0,1.0,0.0,2.0,1.0,125299,Jardim Arpoador Zona Oeste,Apartamento,Apartamento
6557,56.0,1.0,0.0,2.0,1.0,147000,Jardim Casablanca,Apartamento,Apartamento
6558,89.0,3.0,1.0,3.0,2.0,385000,Jardim Monte Azul,Casa de dois andares,Casa
6560,74.0,3.0,1.0,2.0,2.0,481599,Morumbi,Apartamento,Apartamento
6563,65.0,1.0,0.0,2.0,1.0,186200,Balneário São Francisco,Apartamento,Apartamento
6566,50.0,1.0,0.0,2.0,1.0,185500,Jardim Amaralina,Apartamento,Apartamento
6567,55.0,1.0,0.0,2.0,1.0,216930,Vila Bruna,Apartamento,Apartamento
6568,100.0,1.0,1.0,2.0,2.0,525000,Vila Andrade,Apartamento,Apartamento
6569,82.0,1.0,1.0,3.0,1.0,266000,Vila Ede,Apartamento,Apartamento
6573,50.0,1.0,0.0,2.0,1.0,133000,Jardim Casablanca,Apartamento,Apartamento
6579,78.0,1.0,0.0,2.0,1.0,296800,City América,Apartamento,Apartamento
6580,82.0,1.0,1.0,3.0,2.0,482999,Vila Paulicéia,Apartamento,Apartamento
6581,60.0,1.0,0.0,2.0,1.0,189000,Vila Ivone,Apartamento,Apartamento
6583,30.0,1.0,0.0,1.0,1.0,226800,Perdizes,Flat,Apartamento
6584,94.0,2.0,1.0,3.0,2.0,482299,Jardim Umuarama,Condomínio,Outro
6590,30.0,1.0,1.0,1.0,1.0,185500,Brooklin,Flat,Apartamento
6591,63.0,1.0,0.0,3.0,1.0,216930,Vila Marina,Apartamento,Apartamento
6592,120.0,3.0,1.0,3.0,2.0,523599,Vila Gumercindo,Casa,Casa
6594,66.0,2.0,1.0,2.0,1.0,461999,Perdizes,Apartamento,Apartamento
6597,86.0,2.0,1.0,3.0,1.0,434000,Cambuci,Apartamento,Apartamento
6599,105.0,3.0,1.0,2.0,2.0,819000,Itaim Bibi,Apartamento,Apartamento
6602,55.0,2.0,1.0,2.0,1.0,230999,Belém,Apartamento,Apartamento
6604,57.0,1.0,1.0,1.0,1.0,553000,Vila Olímpia,Apartamento,Apartamento
6605,72.0,1.0,1.0,3.0,2.0,308000,Vila Mazzei,Apartamento,Apartamento
6607,65.0,2.0,0.0,2.0,1.0,203000,Vila Formosa,Condomínio,Outro
6610,55.0,1.0,0.0,2.0,1.0,178500,Chácara Nossa Senhora do Bom Conselho,Apartamento,Apartamento
6615,55.0,1.0,0.0,2.0,1.0,175000,Jardim Mitsutani,Apartamento,Apartamento
6620,83.0,2.0,1.0,3.0,2.0,420000,Tatuapé,Apartamento,Apartamento
6621,74.0,1.0,0.0,2.0,1.0,475999,Várzea da Barra Funda,Apartamento,Apartamento
6632,57.0,2.0,1.0,2.0,1.0,433300,Vila Mariana,Apartamento,Apartamento
6654,95.0,3.0,1.0,3.0,2.0,294000,Vila Nova Alba,Casa de dois andares,Casa
6658,122.0,2.0,0.0,3.0,1.0,350000,Vila Prel,Apartamento,Apartamento
6664,70.0,3.0,2.0,2.0,1.0,265300,Tucuruvi,Condomínio,Outro
6665,68.0,1.0,1.0,2.0,2.0,296800,Vila Andrade,Apartamento,Apartamento
6670,56.0,1.0,0.0,2.0,1.0,244999,Vila Mazzei,Apartamento,Apartamento
6671,90.0,2.0,1.0,3.0,2.0,409500,Santana,Apartamento,Apartamento
6673,55.0,1.0,0.0,2.0,1.0,203000,Vila Sao Silvestre (Zona Leste),Apartamento,Apartamento
6681,44.0,1.0,1.0,1.0,1.0,394800,Brooklin Paulista,Apartamento,Apartamento
6682,179.0,2.0,1.0,3.0,5.0,413000,Chora Menino,Casa de dois andares,Casa
6686,73.0,2.0,0.0,3.0,1.0,278600,Jardim Londrina,Apartamento,Apartamento
6691,150.0,3.0,1.0,2.0,2.0,336000,Campo Grande,Casa,Casa
6692,131.0,2.0,1.0,3.0,2.0,665000,Vila Campo Grande,Apartamento,Apartamento
6693,114.0,3.0,1.0,3.0,1.0,385000,Santo Amaro,Apartamento,Apartamento
6694,84.0,2.0,1.0,3.0,2.0,315000,Jardim Prudência,Apartamento,Apartamento
6695,74.0,1.0,1.0,3.0,2.0,318500,Vila Andrade,Apartamento,Apartamento
6696,136.0,1.0,1.0,3.0,2.0,721000,Jurubatuba,Apartamento,Apartamento
6698,64.0,1.0,0.0,3.0,1.0,203000,Interlagos,Apartamento,Apartamento
6700,50.0,1.0,0.0,2.0,1.0,161000,Parque Munhoz,Apartamento,Apartamento
6702,170.0,2.0,1.0,3.0,2.0,482999,Chácara Nossa Senhora do Bom Conselho,Condomínio,Outro
