area_util,banheiros,suites,quartos,vagas_garagem,preco_venda,bairro,tipo_imovel,tipo_imovel_recategorized
144,76.0,2.0,1.0,3.0,2.0,455000,Jardim Vila Formosa,Apartamento,Apartamento
149,120.0,1.0,1.0,3.0,3.0,840000,Ipiranga,Casa,Casa
151,39.0,1.0,1.0,1.0,1.0,301000,Higienópolis,Flat,Apartamento
159,30.0,1.0,1.0,1.0,1.0,166600,Moema,Flat,Apartamento
164,52.0,1.0,0.0,2.0,1.0,217000,Vila Campestre,Apartamento,Apartamento
165,103.0,3.0,1.0,4.0,2.0,489789,Vila Carrão,Apartamento,Apartamento
166,28.0,1.0,1.0,1.0,1.0,244999,Cerqueira César,Flat,Apartamento
167,101.0,3.0,1.0,3.0,2.0,714000,Jardim da Saude,Apartamento,Apartamento
169,96.0,3.0,1.0,2.0,1.0,560000,Campo Belo,Apartamento,Apartamento
170,53.0,1.0,1.0,2.0,1.0,248242,Ipiranga,Apartamento,Apartamento
174,65.0,1.0,0.0,2.0,1.0,154000,Jardim Guarujá,Condomínio,Outro
177,56.0,1.0,0.0,2.0,1.0,224000,Jardim Vergueiro,Apartamento,Apartamento
179,52.0,1.0,0.0,2.0,1.0,148400,Paraisópolis,Apartamento,Apartamento
180,35.0,1.0,0.0,1.0,1.0,118999,Cidade Mae do Ceu,Flat,Apartamento
181,140.0,3.0,1.0,3.0,4.0,399000,Jardim Monte Azul,Casa de dois andares,Casa
182,133.0,3.0,1.0,3.0,2.0,896000,Lapa,Apartamento,Apartamento
183,240.0,5.0,3.0,3.0,3.0,1470000,Moema,Cobertura,Apartamento
187,100.0,2.0,1.0,3.0,1.0,595000,Cerqueira César,Apartamento,Apartamento
188,54.0,1.0,0.0,2.0,1.0,125999,Jardim Umarizal,Apartamento,Apartamento
192,35.0,1.0,1.0,1.0,1.0,137200,Tatuapé,Flat,Apartamento
193,77.0,2.0,1.0,3.0,2.0,336000,Jardim Marajoara,Apartamento,Apartamento
194,58.0,1.0,0.0,2.0,1.0,237999,Socorro,Apartamento,Apartamento
